,name,place_id,formatted_address,types,user_ratings_total,rating
96,Pantai Purus Padang,ChIJ5woubOC51C8RqbAxZoBA79s,"29V3+28C, Jl. Samudera, Belakang Tangsi, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia","tourist_attraction,point_of_interest,establishment",66,4.5
97,Taplau Pantai Padang,ChIJl_MmUNG51C8R6oN7Pu6aiiY,"Jl. Samudera No.66, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat 25117, Indonesia","tourist_attraction,point_of_interest,establishment",32,4.7
98,Objek Wisata Batang Arau Padang,ChIJ4YxnW5G51C8Ruw-q7ylnVR0,"29M5+PHF, Jl. Kp. Batu, Batang Arau, Kec. Padang Sel., Kota Padang, Sumatera Barat, Indonesia","tourist_attraction,point_of_interest,establishment",21,4.4
99,Kelenteng See Hin Kiong,ChIJC6A2klm51C8R6UNVCnmXpgY,"29Q7+43X, Jl. Kelenteng, Kp. Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia","tourist_attraction,place_of_worship,point_of_interest,establishment",535,4.6
100,Pasar Siti Nurbaya,ChIJSxp73v-71C8R2qax07-OjUM,"29M2+FG8, Batang Arau, Padang Selatan, Padang City, West Sumatra, Indonesia","tourist_attraction,point_of_interest,establishment",23,4.7
101,"Banana River, Padang Kota subdistrict Bungus",ChIJnfsJ1imk1C8RWdxMTNgED6o,"V9MP+8MR, Unnamed Road, Tlk. Kabung Sel., Kec. Bungus Tlk. Kabung, Kota Padang, Sumatera Barat 25237, Indonesia","tourist_attraction,point_of_interest,establishment",497,4.4
102,Pantai Pesona,ChIJhbTFfBWl1C8RwbO3tT8bpbQ,"WCQ8+W26, North Teluk Kabung, Bungus Teluk Kabung, Padang City, West Sumatra 25237, Indonesia","tourist_attraction,point_of_interest,establishment",95,4.4
103,Padang Beach,ChIJvzH9GDO51C8RHwY5chxQ2xU,"Padang Beach, Purus, Padang Barat, Padang City, West Sumatra 25115, Indonesia","natural_feature,establishment",6341,4.5
104,Taman Wisata Bukit Bidadari Kasang,ChIJ24_CtR7F1C8RjNP6YJYPRgU,"6985+HJ6, Jl. Korong Jambak, Kasang, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia","tourist_attraction,point_of_interest,establishment",23,4.6
105,Masjid Raya Sumatera Barat,ChIJ8xkjjdm41C8R03CQNCOI-us,"39G6+7XG, Jl. Khatib Sulaiman, Alai Parak Kopi, Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia","mosque,tourist_attraction,place_of_worship,point_of_interest,establishment",19440,4.8
106,Taman Rusa Bukit Atas,ChIJd5h7MB631C8R4nS7mV_AenA,"3F2M+JH9, Indarung, Lubuk Kilangan, Padang City, West Sumatra 25168, Indonesia","tourist_attraction,point_of_interest,establishment",12,4.7
107,Pantai Ujuang Kabun padang sumatera barat.,ChIJKSh8_Uy71C8RuFJJeOyuS9A,"29C6+53J, Air Manis, Padang Selatan, Padang City, West Sumatra, Indonesia","tourist_attraction,point_of_interest,establishment",16,4.8
108,Pantai Pinus Tabing,ChIJO4M75APB1C8R8HCBV2g7jZM,"48PM+62F, Pasie Nan Tigo, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",11,4.9
109,Pantai Kampoeang Tingga,ChIJgUqtjW271C8RPBSEN5yHIvQ,"Jl. Pantai Air Manis, RT.001/RW.001, Air Manis, Kec. Padang Sel., Kota Padang, Sumatera Barat, Indonesia","tourist_attraction,point_of_interest,establishment",51,4.6
110,Kelok View Teluk Bayur,ChIJ6aH13Na71C8REpoi0QzxqtU,"Jl. Padang - Bengkulu No.35-37, Tlk. Bayur, Kec. Padang Sel., Kota Padang, Sumatera Barat 25216, Indonesia","tourist_attraction,point_of_interest,establishment",83,4.7
111,Marawa Beach Club,ChIJz1sCfKi71C8RKwo8AHBUqMU,"Pantai, Air Manis, Kec. Padang Sel., Kota Padang, Sumatera Barat 25217, Indonesia","tourist_attraction,restaurant,food,point_of_interest,establishment",1205,3.9
112,padang hiking and refreshing,ChIJv_x-xRHH1C8RrPXx9BqEFi8,"jl. bendungan, Balai Gadang, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25161, Indonesia","tourist_attraction,point_of_interest,establishment",0,0.0
113,Lubuk Mande Rubiah,ChIJTx3xwOe31C8RPjW3IrKCHCo,"4F26+C6J, Lambung Bukit, Pauh, Padang City, West Sumatra 25174, Indonesia","tourist_attraction,point_of_interest,establishment",80,4.6
114,Siti Nurbaya Bridge,ChIJB0CKwbu51C8RHsdYifRIiEI,"Jl. Kp. Batu, Batang Arau, Kec. Padang Sel., Kota Padang, Sumatera Barat, Indonesia","park,point_of_interest,establishment",2187,4.6
