place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,clothing_store,electronics_store,food,gym,health,home_goods_store,lodging,night_club,park,parking,real_estate_agency,restaurant,shopping_mall,spa,store,travel_agency
ChIJdYbQJ_HzaS4R1GHAunaSoyk,JS Luwansa,"Jl. H. R. Rasuna Said No.22, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,8895,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ9WZdIAr2aS4RUL0aNSBuekw,de green Residence gajahmada,"No.16, Jl. Keamanan, RT.3/RW.8, Keagungan, Taman Sari, West Jakarta City, Jakarta 11130, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,329,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJW5hmUJ32aS4R_Iyp5WRwpKs,Juno Tanah Abang Jakarta,"Jl. K.H. Wahid Hasyim No.181, RT.14/RW.6, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2787,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJCaitxgz3aS4RBYdIKQuWDh0,Aston Kartika Grogol Hotel & Conference Center,"Kartika Tower, Jl. Kyai Tapa No.101, RT.4/RW.16, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,5114,4.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJKfVWcSX0aS4RSC7TgC2IKOw,Ashley Wahid Hasyim Jakarta,"Jl. K.H. Wahid Hasyim No.73-75, RT.1/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,5537,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJX-_fmL32aS4R1s7lGt-UI64,Hotel Santika Premiere Slipi - Jakarta,"Jl. K.S. Tubun No.7, RT.1/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,8481,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ6bMyL8QDai4RQD9eRMjomy8,Azana Style Hotel Bandara Jakarta,"Cengkareng Business City Tower PQR Lot 5, Jl. Atang Sanjaya No.21, RT.2/RW.2, Kota Tangerang, Banten 15125, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,734,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJS20938_1aS4RqEoHUa_Hmug,Amaris Hotel Juanda Jakarta,"Jl. Ir. H. Juanda No.3, RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2310,4.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJmaHpUGL2aS4R1afjGO3_xvI,Capital O 126 Business Hotel,"Jl. Tomang Raya No.51, RT.12/RW.5, Tomang, Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11439, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,1198,3.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJuSrR7b33aS4REonI7SqhIVY,"The Orient Hotel Jakarta, a Royal Hideaway Hotel","Jl. Jend. Sudirman No.36, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,390,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJkfqO8wT0aS4R7cWEgh413PY,LeGreen Suite Sudirman,"Jl. Taman Setia Budi II No.7, RT.5/RW.3, Kuningan, Setia Budi, Kecamatan Setiabudi, Jakarta, Daerah Khusus Ibukota Jakarta 12910, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,45,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJc0ZV-uv1aS4Rxk-usfktV5s,Hotel Alia Cikini,"Jl. Cikini Raya No.32, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,293,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJW72tgRweai4R7GRAPcHtgkY,BI Executive Hotel,"Jl. R. E. Martadinata No.2, RT.1/RW.13, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,1550,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJoQatZ5TzaS4RqZL1VzvdWNA,POP! Hotel Tebet,"Jl. Prof. DR. Soepomo No.29, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2972,4.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJL_5K9CH0aS4RF02SDuS482o,"Mandarin Oriental, Jakarta","Jl. M.H. Thamrin, Menteng, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10310, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,7395,4.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
